location,date,link,price,comp_name,full_name,currency,description,type
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43940317,"549,99",Huawei,Huawei MateBook 14,AZN,▫️Ətraflı şəkil və məlumat üçün DM-ya klik etməyiniz kifayətdir✨,shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44550237,900,Asus,"Noutbuk ""Asus Gaming""",AZN,Asus Tuf gaming real saticiya endirim olacaq,individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44475256,750,Acer,Acer Aspire A315,AZN,🚀 Acer Aspire A315 – MX550 ilə Gündəlik İşlər və Əyləncə Üçün Super Seçim! 🚀,shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44414809,1999,Asus,Asus Vivobook Pro 16 OLED K6602VU-MX126 (90NB1151-M00650),AZN,"◽Model : Asus Vivobook Pro 16 OLED K6602VU-MX126
◽Prosessor : Intel® Core™ i5-13500H (12 Core , 16 Cpu , Up to 4.70 GHz , 18 MB cache)
◽Ekranın diaqonalı : 16.0 OLED 3.2K (3200 x 2000) 120hz
◽Ram : 16 GB DDR5 4800 MHz
◽Yaddaş :512 GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
◽Video kartın növü : NVIDIA® GeForce RTX™ 4050 6GB GDDR6
◽Rəngi : Quiet Blue
◽Əməliyyat sistemi : Freedoss
◽Klaviatura : Rus/Eng
◽Batareya : 96Wh
◽Çəki : 1.90 Kq
◽Vəziyyəti : Yeni
◽P/N : 90NB1151-M00650
📝 1 İl Rəsmi Zəmanət
🎁 Nəğd Alış Zamanı ⬇️⬇️⬇️
1.💼 Çanta
2.🖱️ Mouse + Mouse Pad
3👨‍💻 Əməliyyat sistemi və standart proqramların ödənişsiz yazılması (Word, Excell, Powerpoint və s.)
4.⚙️ Zəmanət müddətində noutbukların təmizlənməsi və termal pasta dəyişməsi ödənişsiz",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44488415,1331,Asus,"Noutbuk ""ASUS ROG Strix""",AZN,"ASUS ROG Strix RTX 3050Ti 💥 ASUS ROG Strix – Güc və performans bir yerdə! 💥
🔹 Prosessor: AMD Ryzen 7 - 4800H (8 nüvə, 16 thread)
🔹 RAM: 16 GB DDR4
🔹 Yaddaş: 512 GB SSD (M.2 NVMe)
🔹 Qrafika: RTX 3050 Ti – 4GB (90W versiyası)
🔹 Ekran: 15.6"" FHD | 144Hz — oyunlar üçün əla seçim
🔹 Əlaqə: WiFi 6 dəstəyi
🔹 Vəziyyəti: İkinci əl, əla durumdadır — heç bir problemi yoxdur
📦 Qutusu üzərindədir!",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44531449,1390,Asus,"Noutbuk ""Asus Tuf F17 512GB/32GB""",AZN,🚀 *ASUS TUF F17 RTX 3060 – Performans Canavarı Satışda!*,individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44006833,1250,Acer,"Noutbuk ""Acer""",AZN,Model:Acer Nitro,individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/32382723,799,HP,HP Pavilion 15,AZN,"🔥Hp Pavilion 15🔥(Əlavə videokartla)
🔹İntel Core i5 8th 8x 3.60Ghz
🔹8Gb DDR4 (Max Support 16Gb)
🔹15.6'' HD MAT Anti-Blue (1366x768)
🔹1Tb HDD + 128Gb SSD NvMe
🔸Intel UHD Graphics 2Gb + Nvidia MX110 2Gb GDDR5
🔸Təyinatı : Ofis,Muhasibatlıq,Online Dərs,IT, Proqramlaşdırma, Dizayn, Oyunlar və s.
✅Nəğd Alışa Endirim Olunacaq (Çanta + Mouse + Windows 10).
✅Taksit kartları ilə ödəmə mümkündü: Birkart / Tamkart və s.
✅Şəxsiyyət Vəsiqəsi ilə 6/12/18 aylıq mümkündür - Rəsmi işin olması arzuolunandır.
✅Bütün Notbuklara Yazılı surətdə Zəmanət Verilir(6 Ay).",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44196717,2300,Apple Macbook,"Noutbuk ""Apple MacBook Pro 14 M3""",AZN,"Apple MacBook Pro 14 düym ekran, M3 prosessor, 8 Gb RAM, 512 Gb SSD yaddaş. Space Gray rəngindədir. Əla vəziyyətdədir, heç bir porblemi yoxdur. Yalnız diqqətlə baxılarsa xırda cızıqlar görmək mümkündür.",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44550400,1399,HP,Hp Victus 15-fa1082wm,AZN,Model : Hp Victus 15-fa1082wm,shop
